id,category,failure,trigger,detection,impact,prevention,recovery,retry_policy,metric_alert,test_fixture,status,owner_module
"S044","strategy","soft risk diluted by a reassuring feature","the aggregation is the mean, so adding a gate that reports no risk divides the same total by a larger count","one 0.9 risk plus one 0.0 risk scores 0.45","a dangerous token becomes safer every time the system learns something reassuring about it","max(primary) + bounded secondary: the worst single risk is a floor nothing can lower","the score reflects the risks actually found","none","summarize() output against a single-gate baseline","tests/unit/score-defects.test.ts","implemented","packages/intelligence/src/gates.ts"
"S045","strategy","a missing net-buyer count replaced with gross buys","the provider omits numNetBuyers and the gate substitutes numBuys","the anti-wash gate passes on a token whose net buyers are unknown","wash trading satisfies the gate designed to detect it, precisely when the honest number is unavailable","no substitution: absence is charged as soft risk and the veto is not evaluated","the token is screened on the evidence that exists","none","gate net_buyers_unavailable appears in the screening row","tests/unit/score-defects.test.ts","implemented","packages/intelligence/src/gates.ts"
"S046","execution","cleanup ordered before custom post-swap instructions","otherInstructions are appended after cleanupInstruction","an instruction touching the wrapped-SOL account executes after the account is closed","the assembled transaction differs from the one the route describes and the policy validated","order is compute, setup, swap, other, cleanup, tip","the transaction executes in the documented order","none","instruction order in the exact transaction blob","tests/unit/build-composition.test.ts","implemented","packages/adapters/src/jupiter/client.ts"
"S047","execution","tipInstruction parsed and then dropped","the schema accepts tipInstruction and the assembler never includes it","a route that requested a tip produces a transaction with no tip instruction","the tip is invisible to the policy decoder, absent from the byte-level hash, and missing from every cost model","the tip is assembled last and its amount decoded from the System transfer as a bigint","the cost model sees the tip the route actually asked for","none","BuildOutcome.hasTip with a null tipLamports means requested but unreadable","tests/unit/build-composition.test.ts","implemented","packages/adapters/src/jupiter/client.ts"
"S048","measurement","a canary gate that passes on losing trades","the gate counts completed positions and never reads what they earned","200 impeccably provenanced losing trades satisfy every clause","real capital is committed to a strategy the corpus shows losing money","readiness gates require net PnL, log growth, its lower bound, profit factor, drawdown and robustness to trade and day removal","the promotion is refused and every failing gate is named","none: a failed gate is never weakened to make a run possible","artifacts/readiness.json verdict","tests/unit/readiness.test.ts","implemented","packages/research/src/readiness.ts"
"S049","measurement","a package script pointing at a file that does not exist","shadow:status referenced scripts/shadow-status.ts, which was never written","ERR_MODULE_NOT_FOUND on invocation","an operational check that looks available and has never run","the command is wired to scripts/evidence-status.ts and produces a real artifact","run the command","none","the artifact file exists and carries a recent generatedUtcMs","none","implemented","package.json"
"S050","simulation","offline replay cannot restore a multi-program route","a Pump route invokes six programs whose ELFs must be redeployed, and surfnet_writeProgram drops its RPC connection on a 10.5 MB program; soPath removed the N-API marshalling and the failure was unchanged","SIMULATION_UNKNOWN with detail cheatcode failed: surfnet_writeProgram; /v1/health stops answering during the restore","no Pump fingerprint can reach OFFLINE_REPRODUCIBLE, so CONFIRMATORY is unreachable for the venue carrying 4,545 of 26,515 observations","the deploy budget refuses a snapshot beyond a measured bound rather than hanging the daemon with nothing to diagnose","JIT collection is unaffected and continues; the route is capped at JIT_EFFECT_VALID","none: retrying a synchronous deploy that did not finish in five minutes will not finish on the second attempt","artifacts/simulator-parity.json disqualifiers contains the offline replay was SIMULATION_UNKNOWN","none","open","apps/simulatord/src/main.ts"
"S051","measurement","a decision-bearing module that nothing calls","entity.ts and accountwatch.ts are complete and tested and have zero non-test importers; mintfacts.ts left the list when P17 wired it into the screening gate","tests/unit/no-dead-modules.test.ts counts live importers per module","the capability appears to exist in every report that counts files or tests, and decides nothing; P13 on-chain facts and P14 WSS alarms are implemented and inert","the KNOWN_INERT list can only shrink, and a NEW dead module fails on the day it is written rather than a directive later","wire the module into the decision path, then delete its KNOWN_INERT entry","none","the test fails when a listed module gains an importer, which is the signal to remove it from the list","tests/unit/no-dead-modules.test.ts","implemented","packages/intelligence/src/mintfacts.ts"
"S052","measurement","token balances keyed by two different identities at the two ends","the daemon serialised by token-account pubkey; the effect verifier looked up owner:mint","every stored pre/post token map contains only base58 account pubkeys and no owner:mint key has ever existed","every token delta read as unobserved, so a buy that credited its ATA exactly as intended was refused for missing output; all 20 VALID_DEVELOPMENT jobs EFFECT_REFUSED","ObservedTokenBalance carries tokenAccount, owner, mint, tokenProgram and amount; one audited aggregation groups by (owner, mint, tokenProgram)","the window is closed as instrument development and the rows are kept as evidence","none: a lookup that cannot match will not match on a retry","simulation_jobs.token_deltas is empty while a token moved","tests/unit/tokenbalance.test.ts","implemented","packages/simulator/src/tokenbalance.ts"
"S053","measurement","a mint decoded as a token account","the token-account decoder checked only that the owner is a token program and the data is at least 72 bytes; a legacy mint is 82","structured output carried balances attributed to owners that do not exist","phantom token balances in every route that names its own mint","sizes are the discriminator: mint 82, account 165, Token-2022 165 plus a type byte where 1 is Mint and 2 is Account","refuse the account rather than decode it","none","a token balance whose owner appears in no instruction","none","implemented","apps/simulatord/src/main.ts"
"S054","measurement","the leg own accounts truncated out of the watch window","MAX_WATCHED_ACCOUNTS was 64 and the watched list was an unordered slice; a Pump route resolves past 64 through its lookup tables","the pool movement and the fee payer movement are both observed and the taker credit is not","a delivered transaction reported as output delta missing, by both the daemon bounds check and the effect verifier","the fee payer, each token mutation owner and the derived ATA for each named mint under both programs go first; cap raised to 256","the run is re-simulated with the leg accounts watched","none","truncated > 0 on a run intended as evidence","none","implemented","apps/simulatord/src/main.ts"
"S055","accounting","the sell credit has two values","the effect verifier subtracts provisioning rent from the payer movement and the daemon bounds check does not","daemon reports native SOL credit -1420 where the verifier reports 4146740 for the same leg","a cost that appears in one path and disappears in another; against a 0.02 SOL leg the 2039280 of ATA rent is ten percent of the notional and dominates the answer","the setup writes the source account byte for byte, rent-exempt, so the payer never funds it and the question does not arise","neither number is quoted as the answer","none","compare boundsViolations against the verifier outputCredit on any sell","none","implemented","apps/simulatord/src/main.ts"
"S056","measurement","a websocket pointed at a different provider than HTTP","SOLANA_RPC_HTTP names one provider while a stale HELIUS_API_KEY is still present, so rpcWs derives from the key","the socket closes with code 1006 on every attempt and every websocket feature silently covers nothing","the live migration lane records a coverage gap that reads as a chain fact rather than a configuration one","wsUrlFromHttp derives the socket from the endpoint HTTP is actually using; the Helius key is the last fallback, not the first","the collector prints NO WEBSOCKET when none can be derived, rather than starting a lane that covers nothing","no retry: a socket pointed at the wrong host never connects","wss:status reports open subscriptions per kind and names zero coverage explicitly","tests/unit/live-lane-p8-p13.test.ts the socket follows the endpoint HTTP is actually using","implemented","packages/domain/src/config.ts"
"S057","measurement","an exhausted DAILY QUOTA read as a fact about the token","the RPC daily allowance is spent and every getAccountInfo returns HTTP 429","isQuotaExhausted matches the provider message body; a per-second limit and a spent allowance are both 429","every candidate refuses with the pool could not be read and the refusal histogram reads as a chain with no canonical pools","the pool read failure is carried on the facts and named APPARATUS, apart from a pool that is genuinely not canonical","the collector STOPS the pass rather than grinding out apparatus refusals for the rest of the cycle","no retry today: backing off on a spent daily allowance is pure waste","rate:budget-v2 names the daily quota as the binding constraint when one is observed","tests/unit/candidate-risk-p10.test.ts an apparatus failure is never reported as a property of the token","implemented","apps/collector/src/trajectory-collect.ts"
"S058","measurement","unmeasured clustering reported as MEASURED zero","entityAdjustedConcentration receives an EMPTY holder-history list","the filter for incomplete histories finds nothing in an empty collection, so the verdict is MEASURED with the caller share","a candidate whose holders were never examined passes the concentration gate identically to one measured as unclustered","an empty history list returns HISTORY_INCOMPLETE; vacuous truth over an empty collection is refused by name","the caller falls back to the raw balance tier, which is a real measurement, and the stratum records which tier decided","not applicable","candidate_risk_facts.concentration_kind counts RAW_ONLY against ENTITY","tests/unit/candidate-risk-p10.test.ts the empty-history vacuity","implemented","packages/intelligence/src/risk-facts-order.ts"
"S059","execution","the cashback remaining-account tail compared against the wrong positions","PumpSwap appends buybackFeeRecipient and its token account after the cashback accounts on every leg","the fail-closed placement check refused every candidate on the chain with CASHBACK_ACCOUNTS_MISPLACED","a correct builder would have been refused outright; a warning instead of a refusal would have been ignored","the expected tail skips the trailing SDK-SELECTED accounts, which are observed from the built plan rather than derived","the selected buyback recipient is recorded on the trajectory, so a replay compares against what ran","not applicable","leg_cashback rows carry the fee recipient delta per leg","tests/unit/cashback-both-legs-p7.test.ts 34/35 the tail is exact","implemented","packages/solana/src/cashback.ts"
"S060","measurement","the history backfill exhausted the RPC allowance before the primary path ran","the scan probed up to 200 mints per cycle, one account read each, re-deriving that about 97 percent never migrate","HTTP 429 daily request limit reached on every subsequent call in the cycle","the live lane, admission and open passes all refuse for apparatus reasons and the cycle produces nothing","the backfill is bounded per cycle (--backfill-scan, default 25) and skips mints already resolved","the live migration lane is the primary path and runs first; the backfill takes leftover budget","not applicable","rate:budget-v2 counts RPC by method and names the quota when one is observed","tests/unit/live-lane-p8-p13.test.ts 13 the binding constraint is what was OBSERVED","implemented","apps/collector/src/trajectory-collect.ts"
"S061","measurement","the candidate sampler returned the same mints every cycle","migrationCandidates ordered by slot DESC with no reference to trajectories already opened","development window V1 cycles 1 and 2 opened an identical set of three mints","the corpus fills with repeated measurements of a few pools while the 100-path threshold is met, supporting no claim about a population","exclude mints with a non-SETTLED trajectory; order least-sampled first; cap contribution per mint","samplingSpread() prints trajectories, distinct mints and the most-sampled count every cycle","not applicable","sampling spread line in every collector cycle","tests/unit/sampling-spread-p14.test.ts 14 - the sampler spreads before it deepens","implemented","packages/storage/src/trajectory-repo.ts"
"S062","measurement","the entry impact bound was computed and thrown away","openTrajectory called boundEntryImpact and then `void impact`, while the collector wrote hardcoded zeros and withinSmallImpactBound true","every development_trajectories row claimed 0% impact inside a 50 bps bound","counterfactual exits built on those rows are dominated by unrecorded self-impact; measured entries were 70-112% of pool quote reserve","the measured bound is stored on the trajectory and a HIGH_IMPACT line is printed when it is exceeded","the row records the real ratio and haircut, so analysis can filter on it","not applicable","HIGH_IMPACT line per opened trajectory; within_small_impact column","covered by the live window observation recorded in docs/DEV_WINDOW_V1_INVALIDATION.md","implemented","packages/pipeline/src/open-trajectory.ts"
"S063","measurement","net PnL was published over a payer identity that does not close","buildTrajectorySettlement checked three of the four conditions isPnlEligible states and never read costs.unexplainedLamports","8f73cef audit K-2: 51 of 52 settlements carried a non-zero remainder, 30 published net PnL anyway, and ZERO carried an identity violation","the worst row published net -6,426,787 lamports with -4,564,488 unexplained - 71% of the loss it reported, on a 20,000,000 lamport notional","buildTrajectorySettlement CALLS isPnlEligible rather than restating its clauses; a non-zero residue blocks net PnL and raises two identity violations carrying the exact number","the residue is stored and reported, so an existing row can be re-judged rather than re-collected","not applicable","settlementTotals prints nonZeroUnexplained and withIdentityViolations every cycle; evidence:graph-check NO_UNEXPLAINED_PNL","tests/unit/directive-5d24e39-p17.test.ts 12 and 13","implemented","packages/domain/src/trajectory-settlement.ts"
"S064","measurement","the trajectory row and the settlement row disagreed by construction","settleTrajectory was the only writer of the economics columns and the collector never called it; closeTrajectory set state and settled_utc_ms and nothing else","8f73cef audit K-3: 31 settlements carried net PnL and 0 of 292 trajectory rows did","any consumer reading the trajectory row rather than the settlement row saw a corpus with no costs and no PnL at all","persistTrajectoryEconomics writes the economics WITHOUT touching state, and asserts exactly one affected row","the settlement row is intact, so the trajectory row can be backfilled from it","not applicable","evidence:graph-check TRAJECTORY_ECONOMICS_PRESENT","tests/unit/directive-5d24e39-p17.test.ts 17","implemented","packages/storage/src/trajectory-repo.ts"
"S065","apparatus","the trajectory collector took no process lock, and health reported on a different program","trajectory-collect never imported process_locks; the screening collector held the lock named `collector` and pnpm health read that row","8f73cef audit A-2: five daemons and 15 processes against one 7.3 GB database while health printed OK","15 mints exceeded a hard --max-per-mint cap of 3, the worst at 58 - nineteen times the cap, one mint a fifth of the sample","a dedicated `trajectory_collector` lock taken inside BEGIN IMMEDIATE, an OS lock file, and per-mint reservations enforced by unique indexes and a CHECK","collector:stop-all stops every trajectory collector and verifies zero remain","not applicable","collector:lock-status exits non-zero unless exactly one owner holds the lock","tests/unit/directive-5d24e39-p17.test.ts 1, 2 and 3","implemented","packages/storage/src/collector-lock.ts"
"S066","measurement","five of seven append-only ambiguities were SILENTLY DISCARDED","insertTrajectorySettlement, insertPolicyOutcome and insertMark used bare INSERT OR IGNORE and returned void","8f73cef audit L-1: a second DIFFERENT mark at a recorded offset kept 18678909 against an offered 123456789 and the writer reported success","with several daemons racing the same open trajectories, a lost write and a market fact are indistinguishable after the fact","same key plus identical content is idempotent; same key plus different content throws with the stored and offered values named; zero-row and multi-row updates throw","evidence_conflicts records every refusal, so a conflict is durable rather than only logged","not applicable","trajectory:conflict-test runs all eight probes against a temporary database","tests/unit/directive-5d24e39-p17.test.ts 18 through 21","implemented","packages/storage/src/mark-repo.ts"
"S067","measurement","the mark clock and the discovery clock were the same clock","the mark pass ran at the top of a 300-second discovery cycle, so a one-minute horizon was served by a five-minute loop","8f73cef audit B-4: 697 of 1,448 marks more than 60 seconds late; only 57 of 292 one-minute marks within 60s of their horizon","a backfilled path collapses every horizon onto one instant, both exit policies see the same prices and agree trivially, so the tournament cannot distinguish the policies it exists to compare","a monotonic due-time scheduler on a 3-second tick against a frozen 10-second SLA; discovery keeps 300 seconds and is DEFERRED whenever a mark is past its SLA","every mark carries its own SLA verdict, so a late one is MISSED_HORIZON and is excluded rather than silently counted","not applicable","scheduler:status by horizon; MISSED_HORIZON count printed every pass","tests/unit/directive-5d24e39-p17.test.ts 26, 26b and 27","implemented","packages/pipeline/src/mark-scheduler.ts"
"S068","measurement","the exit-policy challenger could never exit earlier than the control","with marks at 1/5/15/30/60 the challenger needs two measured marks to see a drop, so its earliest trigger was 5m and the first mark after it was 15m - the control's own horizon","8f73cef audit N-1: no constructed path existed where the challenger exited earlier at a different mark","the challenger could only differ by holding LONGER, so the tournament was structurally incapable of discovering that exiting early is the error - which with heavy-tailed returns is the half most worth discovering","3m and 10m horizons added, recorded as MT045; a drop between 1m and 3m triggers at 3m and fills at 5m","the change was made before any outcome existed under the current contract, so it spends no alpha","not applicable","policy:treatments-status reports challengerExitedEarlier","tests/unit/directive-5d24e39-p17.test.ts 31","implemented","packages/pipeline/src/mark-path.ts"
"S069","measurement","the exit was priced at the mark that REVEALED the deterioration","evaluateExitPolicies read triggeredAtMs for both the trigger and the fill","found by implementing P9.2 rather than by reading it: the challenger books its exit at the one observation it demonstrably could not have traded at","the challenger is flattered by exactly the move that triggered it, which is the move most likely to be adverse","decideExit returns filledAtMs - the first LATER mark carrying a tradable price - and the outcome is priced at that; the control's trigger and fill still coincide because a preregistered horizon is a clock it can stand ready at","filledAtMs null means the rule fired and no later mark carried a price: a BLOCKED exit, not a fill at the trigger","not applicable","policy:treatments-status; trajectory_policy_outcomes carries both offsets","tests/unit/directive-5d24e39-p17.test.ts 31 and 31b","implemented","packages/strategy/src/treatments.ts"
"S070","apparatus","openDb took a full 7 GB VACUUM INTO on EVERY open, migration pending or not","the pre-migration backup was triggered by opening the file rather than by a schema change being about to run","measured during this directive: roughly 5 minutes and 7 GB of disk per status command, per script and per collector restart","a mark scheduler with a 10-second SLA could not exist, and five daemons were left running rather than restarted because restarting was expensive","the backup runs when pendingMigrations() is non-empty, read from the same table migrate() reads so the two cannot disagree","the invariant it protects is unchanged: a migration with no verified backup behind it still refuses to run","not applicable","openDb elapsed time; db:vacuum-backup writes its own artifact","tests/unit/truth-repair.test.ts - blocks migration when the backup cannot be taken; does NOT back up when there is nothing to migrate","implemented","packages/storage/src/db.ts"
"S071","apparatus","both configured RPC endpoints exhausted their quotas and the public one refuses the call the risk gate needs","sustained collection by five concurrent daemons against a keyed QuickNode endpoint and a free Helius plan","measured 2026-08-17T04:50Z: QuickNode 'daily request limit reached', Helius 'max usage reached', public api.mainnet-beta refuses getTokenLargestAccounts 0 of 8 attempts at 5s spacing","admitCandidate refuses every candidate with 'neither entity-adjusted nor raw concentration could be read', so a clean window cannot open a trajectory at all","the gate is fail-closed and correct; the remedy is endpoint capacity, and rpc:usage measures load over ACTIVE COLLECTOR SECONDS rather than wall time so the recommendation is about the binding constraint","the single-writer repair removes the concurrency that spent the quota; measured load is 1.49 calls per active second with 48 refusals","not applicable","rpc:usage; doctor source.rpc; the collector's quota breaker stops a pass rather than reporting a quota fact as a chain fact","not applicable - this is an external capacity fact, not a code path","open","packages/solana/src/endpoint.ts"
